,Fecha,Compra,Venta,E
45,2005-10-31,2.9585,2.961,2.9597499999999997
46,2005-11-30,2.9818181818181815,2.985,2.983409090909091
47,2005-12-31,3.019047619047619,3.0228571428571427,3.020952380952381
48,2006-01-31,3.0704545454545453,3.0731818181818182,3.071818181818182
49,2006-02-28,3.081578947368421,3.084736842105263,3.083157894736842
50,2006-03-31,3.084761904761905,3.087619047619048,3.0861904761904766
51,2006-04-30,3.083157894736842,3.086315789473684,3.084736842105263
52,2006-05-31,3.067619047619048,3.07,3.0688095238095237
53,2006-06-30,3.0963636363636367,3.0995454545454546,3.0979545454545456
54,2006-07-31,3.102,3.1035,3.10275
55,2006-08-31,3.095714285714286,3.0976190476190473,3.0966666666666667
56,2006-09-30,3.1114285714285717,3.1142857142857148,3.112857142857143
57,2006-10-31,3.1214285714285714,3.122380952380953,3.121904761904762
58,2006-11-30,3.0954545454545452,3.0990909090909096,3.0972727272727276
59,2006-12-31,3.076842105263158,3.0784210526315787,3.0776315789473685
60,2007-01-31,3.105454545454545,3.108181818181818,3.1068181818181815
61,2007-02-28,3.1155,3.118,3.1167499999999997
62,2007-03-31,3.119090909090909,3.1213636363636366,3.1202272727272726
63,2007-04-30,3.1178947368421053,3.1194736842105266,3.118684210526316
64,2007-05-31,3.113181818181818,3.1159090909090907,3.1145454545454543
65,2007-06-30,3.1015,3.1035,3.1025
66,2007-07-31,3.1377272727272727,3.1409090909090907,3.1393181818181817
67,2007-08-31,3.2036363636363636,3.2072727272727275,3.2054545454545456
68,2007-09-30,3.2009999999999996,3.2055,3.2032499999999997
69,2007-10-31,3.2026086956521738,3.205217391304348,3.203913043478261
70,2007-11-30,3.162380952380952,3.1647619047619053,3.1635714285714287
71,2007-12-31,3.157368421052632,3.1605263157894736,3.1589473684210527
72,2008-01-31,3.174090909090909,3.1777272727272727,3.175909090909091
73,2008-02-29,3.1757142857142857,3.1785714285714284,3.177142857142857
74,2008-03-31,3.1773684210526314,3.181578947368421,3.1794736842105262
75,2008-04-30,3.2063636363636365,3.209090909090909,3.207727272727273
76,2008-05-31,3.2280952380952384,3.2323809523809524,3.2302380952380956
77,2008-06-30,3.117142857142857,3.1185714285714283,3.117857142857143
78,2008-07-31,3.0654545454545454,3.068636363636364,3.067045454545455
79,2008-08-31,3.068,3.07,3.069
80,2008-09-30,3.1236363636363635,3.1254545454545455,3.1245454545454545
81,2008-10-31,3.3227272727272723,3.3290909090909087,3.3259090909090903
82,2008-11-30,3.3716666666666666,3.3783333333333334,3.375
83,2008-12-31,3.4755000000000003,3.4799999999999995,3.47775
84,2009-01-31,3.5271428571428567,3.531428571428571,3.529285714285714
85,2009-02-28,3.5780000000000003,3.5829999999999997,3.5805
86,2009-03-31,3.74,3.747142857142857,3.7435714285714283
87,2009-04-30,3.728947368421053,3.7336842105263157,3.731315789473684
88,2009-05-31,3.7694736842105265,3.775263157894737,3.772368421052632
89,2009-06-30,3.84,3.846190476190476,3.8430952380952377
90,2009-07-31,3.856521739130435,3.861739130434782,3.8591304347826085
91,2009-08-31,3.857,3.8619999999999997,3.8594999999999997
92,2009-09-30,3.850454545454545,3.855909090909091,3.853181818181818
93,2009-10-31,3.828095238095238,3.8328571428571427,3.8304761904761904
94,2009-11-30,3.812,3.815,3.8135
95,2009-12-31,3.8235,3.8284999999999996,3.8259999999999996
96,2010-01-31,3.8735,3.879,3.8762499999999998
97,2010-02-28,3.9210000000000003,3.9259999999999997,3.9234999999999998
98,2010-03-31,3.9,3.9040909090909093,3.902045454545455
99,2010-04-30,3.900952380952381,3.9076190476190478,3.9042857142857144
100,2010-05-31,3.9363157894736847,3.9426315789473683,3.9394736842105265
101,2010-06-30,4.008095238095239,4.01047619047619,4.009285714285714
102,2010-07-31,4.004761904761905,4.009047619047619,4.006904761904762
103,2010-08-31,4.003809523809524,4.011428571428572,4.007619047619048
104,2010-09-30,4.005454545454546,4.011363636363637,4.008409090909091
105,2010-10-31,4.021578947368421,4.0268421052631584,4.024210526315789
106,2010-11-30,4.038571428571428,4.045238095238095,4.041904761904762
107,2010-12-31,4.0649999999999995,4.0705,4.06775
108,2011-01-31,4.132857142857143,4.137142857142857,4.135
109,2011-02-28,4.1425,4.1495,4.146
110,2011-03-31,4.1468421052631586,4.151578947368421,4.149210526315789
111,2011-04-30,4.204210526315789,4.208947368421053,4.2065789473684205
112,2011-05-31,4.298571428571428,4.303333333333334,4.300952380952381
113,2011-06-30,4.283333333333333,4.286666666666666,4.285
114,2011-07-31,4.294285714285714,4.2976190476190474,4.2959523809523805
115,2011-08-31,4.362272727272727,4.365454545454546,4.363863636363637
116,2011-09-30,4.434090909090909,4.4390909090909085,4.436590909090908
117,2011-10-31,4.435499999999999,4.442,4.43875
118,2011-11-30,4.679047619047618,4.75047619047619,4.714761904761904
119,2011-12-31,4.628947368421053,4.677894736842105,4.653421052631579
120,2012-01-31,4.801428571428572,4.811428571428571,4.8064285714285715
121,2012-02-29,4.738333333333333,4.748888888888889,4.743611111111111
122,2012-03-31,4.788181818181818,4.798181818181818,4.793181818181818
123,2012-04-30,4.975882352941177,4.989411764705882,4.982647058823529
124,2012-05-31,5.475238095238096,5.501904761904761,5.488571428571428
125,2012-06-30,5.917142857142857,5.947857142857143,5.9325
126,2012-07-31,6.2352380952380955,6.266666666666667,6.250952380952381
127,2012-08-31,6.287272727272727,6.315,6.301136363636363
128,2012-09-30,6.297894736842105,6.317894736842105,6.307894736842105
129,2012-10-31,6.257727272727272,6.277727272727273,6.267727272727273
130,2012-11-30,6.354,6.3740000000000006,6.364000000000001
131,2012-12-31,6.533157894736842,6.5531578947368425,6.543157894736842
132,2013-01-31,7.346190476190476,7.368095238095238,7.357142857142858
133,2013-02-28,7.725882352941177,7.747058823529411,7.736470588235294
134,2013-03-31,8.054736842105262,8.084736842105263,8.069736842105263
135,2013-04-30,8.651,8.681000000000001,8.666
136,2013-05-31,9.232727272727272,9.280454545454544,9.256590909090908
137,2013-06-30,8.187222222222223,8.237222222222222,8.212222222222223
138,2013-07-31,8.304545454545455,8.354090909090909,8.32931818181818
139,2013-08-31,8.8385,8.8885,8.8635
140,2013-09-30,9.256666666666666,9.308571428571428,9.282619047619047
141,2013-10-31,9.709,9.759,9.734
142,2013-11-30,9.793000000000001,9.8425,9.81775
143,2013-12-31,9.591578947368422,9.641578947368421,9.61657894736842
144,2014-01-31,11.046363636363637,11.537272727272727,11.291818181818183
145,2014-02-28,11.624500000000001,11.8995,11.762
146,2014-03-31,10.8,10.894444444444444,10.847222222222221
147,2014-04-30,10.418421052631578,10.51842105263158,10.468421052631578
148,2014-05-31,11.075,11.18,11.1275
149,2014-06-30,11.73,11.83,11.780000000000001
150,2014-07-31,12.164545454545454,12.264545454545454,12.214545454545455
151,2014-08-31,13.220526315789474,13.320526315789474,13.270526315789475
152,2014-09-30,14.69681818181818,14.79681818181818,14.746818181818181
153,2014-10-31,14.681363636363637,14.781363636363636,14.731363636363636
154,2014-11-30,13.282631578947369,13.382631578947368,13.332631578947368
155,2014-12-31,12.986666666666666,13.086666666666666,13.036666666666665
156,2015-01-31,13.583333333333334,13.683333333333334,13.633333333333333
157,2015-02-28,13.04611111111111,13.14611111111111,13.09611111111111
158,2015-03-31,12.7385,12.8385,12.788499999999999
159,2015-04-30,12.5255,12.625499999999999,12.575499999999998
160,2015-05-31,12.528421052631579,12.628421052631579,12.57842105263158
161,2015-06-30,12.831363636363637,12.931363636363637,12.881363636363638
